gene_i,gene_j,P_i,P_j,P_ij,P_i_given_j,P_j_given_i,PMI,NPMI
ACTA2,CTLA4,0.01954928990589951,0.0004861279905552276,3.4723427896801975e-05,0.07142857142857144,0.0017761989342806397,1.295758985544036,0.1261927228474774
ACTA2,CTNNB1,0.01954928990589951,0.009340602104239731,0.0,0.0,0.0,,
ACTA2,CTSK,0.01954928990589951,3.4723427896801975e-05,0.0,0.0,0.0,,
ACTA2,CXCL13,0.01954928990589951,0.0001388937115872079,0.0,0.0,0.0,,
ACTA2,CXCL14,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,CXCL5,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,CXCL9,0.01954928990589951,0.00031251085107121773,3.4723427896801975e-05,0.11111111111111112,0.0017761989342806397,1.7375917378230752,0.16922239015082802
ACTA2,CYP3A5,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,CYTIP,0.01954928990589951,0.0020834056738081182,6.944685579360395e-05,0.03333333333333334,0.0035523978685612794,0.5336189334971392,0.055730735142282946
ACTA2,DNAJB9,0.01954928990589951,0.00020834056738081182,0.0,0.0,0.0,,
ACTA2,DUOX1,0.01954928990589951,0.005798812458765929,3.4723427896801975e-05,0.005988023952095809,0.0017761989342806397,-1.1831774972574605,-0.11522851985324588
ACTA2,EGFR,0.01954928990589951,0.0013889371158720789,3.4723427896801975e-05,0.025,0.0017761989342806397,0.24593686104535825,0.02395155464103917
ACTA2,ERBB2,0.01954928990589951,0.0022222993853953264,3.4723427896801975e-05,0.015625,0.0017761989342806397,-0.22406676820037744,-0.02182164730809753
ACTA2,EREG,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,ETV5,0.01954928990589951,0.0001388937115872079,0.0,0.0,0.0,,
ACTA2,F3,0.01954928990589951,0.004965450189242682,0.0,0.0,0.0,,
ACTA2,FABP4,0.01954928990589951,0.0005555748463488316,0.0,0.0,0.0,,
ACTA2,FAP,0.01954928990589951,0.00010417028369040591,0.0,0.0,0.0,,
ACTA2,FCGR2B,0.01954928990589951,0.0003819577068648217,0.0,0.0,0.0,,
ACTA2,FCMR,0.01954928990589951,0.0001388937115872079,0.0,0.0,0.0,,
ACTA2,FDCSP,0.01954928990589951,0.00010417028369040591,3.4723427896801975e-05,0.33333333333333337,0.0017761989342806397,2.8362040264911847,0.2762151855760665
ACTA2,FGFR4,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,FOS,0.01954928990589951,0.20552796972117088,0.005486301607694711,0.02669369825984119,0.28063943161634103,0.3114885534955363,0.05983834387212875
ACTA2,FOXA1,0.01954928990589951,0.0001388937115872079,0.0,0.0,0.0,,
ACTA2,FOXA2,0.01954928990589951,0.0004861279905552276,0.0,0.0,0.0,,
ACTA2,FOXP3,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,FRY,0.01954928990589951,3.4723427896801975e-05,0.0,0.0,0.0,,
